212 -     2 - :telephone_receiver:
213 -     2 - 👉🏾
214 -     2 - :peanuts:
215 -     2 - :fire_engine:
216 -     2 - :crown:
217 -     2 - :snowman_without_snow:
218 -     2 - :cow:
219 -     2 - :boxing_glove:
220 -     2 - :face_with_open_mouth:
221 -     2 - :post_office:
222 -     2 - :2nd_place_medal:
223 -     2 - :black_circle:
224 -     2 - :scissors:
225 -     2 - :hammer_and_pick:
226 -     2 - 👍🏿
227 -     2 - :slightly_smiling_face:
228 -     2 - ✊🏿
229 -     2 - :smiling_face_with_open_mouth_&_closed_eyes:
230 -     2 - :palm_tree:
231 -     2 - :mushroom:
232 -     2 - :beer_mug:
233 -     2 - :crossed_swords:
234 -     2 - :thought_balloon:
235 -     2 - 👍🏼
236 -     2 - :spider:
237 -     2 - :spider_web:
238 -     2 - :woman’s_boot:
239 -     2 - :link:
240 -     2 - 👏🏼
241 -     2 - :paintbrush:
242 -     2 - :kiss_mark:
243 -     2 - 👶🏼
244 -     2 - :heavy_check_mark:
245 -     2 - :camera:
246 -     2 - :soon_arrow:
247 -     2 - :full_moon_with_face:
248 -     2 - 👍🏻
249 -     2 - :sailboat:
250 -     2 - 🤦🏻
251 -     2 - :one_o’clock:
252 -     2 - :one-thirty:
253 -     2 - 🤦🏼
254 -     2 - :egg:
255 -     2 - :up_arrow:
256 -     2 - :baguette_bread:
257 -     2 - :fried_shrimp:
258 -     2 - 👬🏼
259 -     2 - :dollar_banknote:
260 -     2 - :heavy_dollar_sign:
261 -     2 - :sleeping_face:
262 -     2 - :japanese_bargain_button:
263 -     2 - :turkey:
264 -     2 - :nerd_face:
265 -     2 - 👦🏽
266 -     2 - :duck:
267 -     2 - :up_button:
268 -     2 - :yellow_heart:
269 -     1 - :dragon:
270 -     1 - :maple_leaf:
271 -     1 - :woman_dancing:
272 -     1 - :record_button:
273 -     1 - :face_with_rolling_eyes:
274 -     1 - :lying_face:
275 -     1 - :hole:
276 -     1 - :house:
277 -     1 - 🇫🇷
278 -     1 - :fork_and_knife_with_plate:
279 -     1 - :man’s_shoe:
280 -     1 - :dashing_away:
281 -     1 - :outbox_tray:
282 -     1 - :books:
283 -     1 - :chicken:
284 -     1 - :ice_cream:
285 -     1 - :sun:
286 -     1 - :rabbit:
287 -     1 - :astonished_face:
288 -     1 - :hugging_face:
289 -     1 - 🇨🇳
290 -     1 - :cancer:
291 -     1 - :dango:
292 -     1 - :full_moon:
293 -     1 - :newspaper:
294 -     1 - :cl_button:
295 -     1 - :taxi:
296 -     1 - :disappointed_face:
297 -     1 - 🏘
298 -     1 - :bell:
299 -     1 - :index_pointing_up:
300 -     1 - :pen:
301 -     1 - :hamburger:
302 -     1 - 💃🏿
303 -     1 - :four_leaf_clover:
304 -     1 - :hospital:
305 -     1 - 👏🏽
306 -     1 - 👍🏽
307 -     1 - 👴🏿
308 -     1 - :zzz:
309 -     1 - :anchor:
310 -     1 - :drum:
311 -     1 - :face_with_medical_mask:
312 -     1 - :collision:
313 -     1 - 👋🏽
314 -     1 - :hushed_face:
315 -     1 - :santa_claus:
316 -     1 - :nose:
317 -     1 - :rolling_on_the_floor_laughing:
318 -     1 - :broken_heart:
319 -     1 - :bat:
320 -     1 - :man:
321 -     1 - :unicorn_face:
322 -     1 - :flag_in_hole:
323 -     1 - :water_closet:
324 -     1 - :tomato:
325 -     1 - 🕵🏾
326 -     1 - 👳🏿
327 -     1 - 🇸🇦
328 -     1 - :pig:
329 -     1 - :rat:
330 -     1 - :mouse_face:
331 -     1 - :left_arrow_curving_right:
332 -     1 - 👨‍❤️‍👨
333 -     1 - 👩‍❤️‍👩
334 -     1 - :sparkles:
335 -     1 - :hot_pepper:
336 -     1 - :white_question_mark:
337 -     1 - :steaming_bowl:
338 -     1 - :triangular_ruler:
339 -     1 - :stop_sign:
340 -     1 - :sos_button:
341 -     1 - :shinto_shrine:
342 -     1 - :input_numbers:
343 -     1 - :laptop_computer:
344 -     1 - :skier:
345 -     1 - :registered:
346 -     1 - :two_men_holding_hands:
347 -     1 - :passenger_ship:
348 -     1 - :right_arrow_curving_up:
349 -     1 - 🇮🇳
350 -     1 - :keyboard:
351 -     1 - :desktop_computer:
352 -     1 - :face_with_stuck-out_tongue_&_closed_eyes:
353 -     1 - :green_apple:
354 -     1 - :ear_of_corn:
355 -     1 - :avocado:
356 -     1 - #⃣
357 -     1 - :detective:
358 -     1 - :prohibited:
359 -     1 - :cloud_with_snow:
360 -     1 - :weary_cat_face:
361 -     1 - :postal_horn:
