197 -     6 - :monkey:
198 -     6 - :anchor:
199 -     6 - :neutral_face:
200 -     6 - :vs_button:
201 -     6 - :sports_medal:
202 -     6 - :bug:
203 -     6 - :full_moon_with_face:
204 -     6 - :confetti_ball:
205 -     6 - :zzz:
206 -     6 - :face_with_steam_from_nose:
207 -     6 - :money_bag:
208 -     6 - :pig_face:
209 -     6 - :bell:
210 -     6 - :hourglass_with_flowing_sand:
211 -     6 - :wind_chime:
212 -     6 - :cloud_with_rain:
213 -     6 - :woman’s_hat:
214 -     6 - :video_game:
215 -     6 - :man_and_woman_holding_hands:
216 -     6 - :milky_way:
217 -     6 - :keycap_10:
218 -     6 - :incoming_envelope:
219 -     6 - :radio_button:
220 -     6 - :bus_stop:
221 -     6 - :notebook:
222 -     6 - :sun:
223 -     6 - :japanese_secret_button:
224 -     6 - :megaphone:
225 -     5 - :anguished_face:
226 -     5 - :globe_showing_americas:
227 -     5 - :blue_book:
228 -     5 - :crescent_moon:
229 -     5 - :raised_back_of_hand:
230 -     5 - :face_with_open_mouth_&_cold_sweat:
231 -     5 - :black_circle:
232 -     5 - :smiling_face_with_open_mouth_&_closed_eyes:
233 -     5 - :angry_face_with_horns:
234 -     5 - :bed:
235 -     5 - :closed_book:
236 -     5 - :ear_of_corn:
237 -     5 - :hot_beverage:
238 -     5 - :sparkles:
239 -     5 - :full_moon:
240 -     4 - :boxing_glove:
241 -     4 - :horse_face:
242 -     4 - :rainbow:
243 -     4 - :smiling_face_with_horns:
244 -     4 - :end_arrow:
245 -     4 - :stop_sign:
246 -     4 - :briefcase:
247 -     4 - :teacup_without_handle:
248 -     4 - :drooling_face:
249 -     4 - :bow_and_arrow:
250 -     4 - :person_bowing:
251 -     4 - :open_hands:
252 -     4 - :blue_heart:
253 -     4 - :pensive_face:
254 -     4 - :robot_face:
255 -     4 - :white_medium_star:
256 -     4 - :crying_cat_face:
257 -     4 - :pregnant_woman:
258 -     4 - :frowning_face:
259 -     4 - :japanese_congratulations_button:
