212 -    19 - :21:
213 -    19 - :34:
214 -    19 - :dog_face:
215 -    19 - :blobuwu:
216 -    19 - :sanic:
217 -    18 - :52:
218 -    18 - :unamused_face:
219 -    18 - :blobmelt:
220 -    18 - :honeybee:
221 -    18 - :googlesnake:
222 -    17 - :blackdanny:
223 -    17 - :hypersniper:
224 -    17 - :woman:
225 -    17 - :boy:
226 -    17 - :16:
227 -    17 - :08:
228 -    17 - :cloud_with_lightning:
229 -    17 - :blobowo:
230 -    17 - :fu:
231 -    17 - :performing_arts:
232 -    16 - :dagger:
233 -    16 - :kreygasm:
234 -    16 - :chicken:
235 -    16 - :05:
236 -    16 - :bird:
237 -    16 - :blobcaged:
238 -    16 - :blobthinkingsmirk:
239 -    16 - :ogre:
240 -    16 - :venomoji:
241 -    16 - :blobpopcorn2:
242 -    16 - :japanese_prohibited_button:
243 -    15 - :face_with_stuck-out_tongue:
244 -    15 - :thinkw:
245 -    15 - :skull:
246 -    15 - :17:
247 -    15 - :blobpopcorn:
248 -    15 - :frog_face:
249 -    15 - :kingaww:
250 -    15 - :12:
251 -    15 - :mterf:
252 -    15 - :thinkingwithblobs:
253 -    14 - :27:
254 -    14 - :smiling_face_with_open_mouth_&_cold_sweat:
255 -    14 - :lul:
256 -    14 - :redpanda:
257 -    14 - :blobthinkingglare:
258 -    14 - :49:
259 -    14 - :truckdrafts:
260 -    14 - :trumpet:
261 -    14 - :56:
262 -    14 - :tongue:
263 -    13 - :rolling_on_the_floor_laughing:
264 -    13 - :upside-down_face:
265 -    13 - :el:
266 -    13 - :detective:
267 -    13 - :fish:
268 -    13 - :raising_hands:
269 -    13 - :beer_mug:
270 -    13 - :hamburger:
271 -    13 - :19:
272 -    13 - :person_raising_hand:
273 -    13 - :down_arrow:
274 -    13 - :22:
275 -    13 - :gabeface:
276 -    12 - :sleeping_face:
277 -    12 - :trees:
278 -    12 - :door:
279 -    12 - :snowflake:
280 -    12 - :medium-dark_skin_tone:
281 -    12 - :blobblush:
282 -    12 - :blobastonish:
283 -    12 - :disappointed_but_relieved_face:
284 -    12 - :water_wave:
285 -    12 - :omegalul:
286 -    12 - :googlemuscler:
287 -    12 - :blobcool:
288 -    12 - :person_facepalming:
289 -    12 - :treethink:
290 -    12 - :blobsmilesweat2:
291 -    12 - :grimacing_face:
292 -    12 - :rocket:
293 -    12 - :blobkissheart:
294 -    12 - :dome:
295 -    12 - :heart_suit:
296 -    12 - :copyright:
297 -    12 - :bust_in_silhouette:
298 -    12 - :speaking_head:
299 -    12 - :ear:
300 -    12 - :blobhero:
301 -    12 - :blob0w0:
302 -    12 - :blobpoliceangry:
303 -    11 - :24:
304 -    11 - :53:
305 -    11 - :blobdevil:
306 -    11 - :ballot_box_with_check:
307 -    11 - :45:
308 -    11 - :wutface:
309 -    11 - :04:
310 -    11 - :weary_cat_face:
311 -    11 - :cheese_wedge:
312 -    11 - :warning:
313 -    11 - :snowman:
314 -    11 - :blobeyes:
315 -    11 - :bolb:
316 -    11 - :face_with_medical_mask:
317 -    11 - :blobglare:
318 -    11 - :face_with_stuck-out_tongue_&_closed_eyes:
319 -    10 - :zaichoon:
320 -    10 - :dannyw:
321 -    10 - :angry_face:
322 -    10 - :tired_face:
323 -    10 - :smirking_face:
324 -    10 - :lying_face:
325 -    10 - :flushed_face:
326 -    10 - :monkey_face:
327 -    10 - :hugging_face:
328 -    10 - :a_button_(blood_type):
329 -    10 - :03:
330 -    10 - :person_gesturing_no:
331 -    10 - :33:
332 -    10 - :speech_balloon:
333 -    10 - :smiling_cat_face_with_heart-eyes:
334 -    10 - :comradepanda:
335 -    10 - :trophy:
336 -    10 - :blobsmilehappyeyes:
337 -    10 - :nose:
338 -    10 - :blobstop:
339 -    10 - :japanese_not_free_of_charge_button:
340 -    10 - :growing_heart:
341 -    10 - :blobnogood:
342 -     9 - :wheelchair_symbol:
343 -     9 - :wolf_face:
344 -     9 - :thonk:
345 -     9 - :handshake:
346 -     9 - :hammer:
347 -     9 - :raised_hand:
348 -     9 - :woman_dancing:
349 -     9 - :face_blowing_a_kiss:
350 -     9 - :kingsalute:
351 -     9 - :meme:
352 -     9 - :cat_face:
353 -     9 - :25:
354 -     9 - :11:
355 -     9 - :vohiyo:
356 -     9 - :notebook_with_decorative_cover:
357 -     9 - :face_with_stuck-out_tongue_&_winking_eye:
358 -     9 - :kingderp:
359 -     9 - :banana:
360 -     9 - :smellsjebman:
361 -     9 - :holla:
362 -     9 - :doggoblob:
363 -     9 - :memo:
364 -     9 - :31:
365 -     8 - :54:
366 -     8 - :cowboy_hat_face:
367 -     8 - :baby:
368 -     8 - :worried_face:
369 -     8 - :trigasm:
370 -     8 - :58:
371 -     8 - :brokeback:
372 -     8 - :christmas_tree:
373 -     8 - :doot:
374 -     8 - :kingsleep:
375 -     8 - :26:
376 -     8 - :cancer:
377 -     8 - :rainblob:
378 -     8 - :money-mouth_face:
379 -     8 - :goblin:
380 -     8 - :basicblobthink:
381 -     8 - :kiss_mark:
382 -     8 - :chance:
383 -     8 - :pikablob:
384 -     8 - :smiling_face_with_halo:
385 -     8 - :play_button:
386 -     8 - :oncoming_fist:
387 -     8 - :deciduous_tree:
388 -     8 - :cloud:
389 -     8 - :tractor:
390 -     8 - :male_sign:
391 -     8 - :page_with_curl:
392 -     7 - :kappa:
393 -     7 - :raised_hand_with_fingers_splayed:
394 -     7 - :bear_face:
395 -     7 - :47:
396 -     7 - :baguette_bread:
397 -     7 - :kingok:
398 -     7 - :rice_cracker:
399 -     7 - :grinning_face_with_smiling_eyes:
400 -     7 - :feelsgoodman:
401 -     7 - :32:
402 -     7 - :57:
403 -     7 - :white_question_mark:
404 -     7 - :skull_and_crossbones:
405 -     7 - :blobtonguewink:
406 -     7 - :koala:
407 -     7 - :zip:
408 -     7 - :blobugh:
409 -     7 - :slightly_smiling_face:
410 -     7 - :blobnervous:
411 -     7 - :blobconfused:
412 -     7 - :female_sign:
413 -     7 - :americapanda:
414 -     7 - :input_numbers:
415 -     7 - :tacomadome:
416 -     7 - :clinking_beer_mugs:
417 -     7 - :zaiv:
418 -     7 - :face_savouring_delicious_food:
419 -     7 - :poppinphil:
420 -     7 - :30:
421 -     7 - :blobrofl:
422 -     7 - :blobzippermouth:
423 -     7 - :ub3rb0t:
424 -     7 - :japanese_application_button:
425 -     7 - :glowing_star:
426 -     7 - :collision:
427 -     7 - :snowhiyo2:
428 -     6 - :ryrk:
429 -     6 - :giff:
430 -     6 - :potatocarry:
431 -     6 - :monkey:
432 -     6 - :anchor:
433 -     6 - :42:
434 -     6 - :seemsgood:
435 -     6 - :blobcatreach:
436 -     6 - :neutral_face:
437 -     6 - :roosip:
438 -     6 - :vs_button:
439 -     6 - :blobfire2:
440 -     6 - :blobhighfive:
441 -     6 - :kingowo:
442 -     6 - :sports_medal:
443 -     6 - :51:
444 -     6 - :jebaited:
445 -     6 - :blobfistbumpl:
446 -     6 - :bug:
447 -     6 - :blobangel:
448 -     6 - :full_moon_with_face:
449 -     6 - :confetti_ball:
450 -     6 - :blobwoah:
451 -     6 - :zzz:
452 -     6 - :blobxd:
453 -     6 - :09:
454 -     6 - :kingpalm:
455 -     6 - :feelsdabman:
456 -     6 - :face_with_steam_from_nose:
457 -     6 - :money_bag:
458 -     6 - :pig_face:
459 -     6 - :bell:
460 -     6 - :hourglass_with_flowing_sand:
461 -     6 - :wind_chime:
462 -     6 - :cloud_with_rain:
463 -     6 - :woman’s_hat:
464 -     6 - :video_game:
465 -     6 - :man_and_woman_holding_hands:
466 -     6 - :milky_way:
467 -     6 - :keycap_10:
468 -     6 - :incoming_envelope:
469 -     6 - :radio_button:
470 -     6 - :bus_stop:
471 -     6 - :notebook:
472 -     6 - :bloboutage:
473 -     6 - :blobok:
474 -     6 - :blobpatrol:
475 -     6 - :sun:
476 -     6 - :japanese_secret_button:
477 -     6 - :megaphone:
478 -     6 - :blobpolice:
479 -     5 - :ryrkface:
480 -     5 - :44:
481 -     5 - :a2kw:
482 -     5 - :anguished_face:
483 -     5 - :monkamega:
484 -     5 - :thonkang:
485 -     5 - :red_panda_face:
486 -     5 - :globe_showing_americas:
487 -     5 - :blue_book:
488 -     5 - :crescent_moon:
489 -     5 - :6k:
490 -     5 - :raised_back_of_hand:
491 -     5 - :13:
492 -     5 - :mmmsssssymmmmm:
493 -     5 - :face_with_open_mouth_&_cold_sweat:
494 -     5 - :50:
495 -     5 - :scream2:
496 -     5 - :googlecat:
497 -     5 - :brainstorm:
498 -     5 - :nogod:
499 -     5 - :gskwtf:
500 -     5 - :black_circle:
501 -     5 - :blobdetective:
502 -     5 - :10:
503 -     5 - :smiling_face_with_open_mouth_&_closed_eyes:
504 -     5 - :narwalthinking:
505 -     5 - :18:
506 -     5 - :angry_face_with_horns:
507 -     5 - :07:
508 -     5 - :blobtilt:
509 -     5 - :bed:
510 -     5 - :closed_book:
511 -     5 - :ear_of_corn:
512 -     5 - :blobsnuggle:
513 -     5 - :hot_beverage:
514 -     5 - :nysmouse:
515 -     5 - :thinkraging:
516 -     5 - :blobamused:
517 -     5 - :sparkles:
518 -     5 - :full_moon:
519 -     4 - :blobnerd:
520 -     4 - :boxing_glove:
521 -     4 - :a2kvv:
522 -     4 - :horse_face:
523 -     4 - :unimpressed:
524 -     4 - :rainbow:
525 -     4 - :kappapride:
526 -     4 - :smiling_face_with_horns:
527 -     4 - :end_arrow:
528 -     4 - :stop_sign:
529 -     4 - :chancew:
530 -     4 - :briefcase:
531 -     4 - :teacup_without_handle:
532 -     4 - :osfrog:
533 -     4 - :drooling_face:
534 -     4 - :59:
535 -     4 - :bow_and_arrow:
536 -     4 - :01:
537 -     4 - :nazi:
538 -     4 - :person_bowing:
539 -     4 - :blobsweat:
540 -     4 - :open_hands:
541 -     4 - :blue_heart:
542 -     4 - :pensive_face:
543 -     4 - :rooblank:
544 -     4 - :blobparty:
545 -     4 - :blobawkward:
546 -     4 - :robot_face:
547 -     4 - :white_medium_star:
548 -     4 - :crying_cat_face:
549 -     4 - :pregnant_woman:
550 -     4 - :frowning_face:
551 -     4 - :googleghost:
552 -     4 - :japanese_congratulations_button:
553 -     4 - :crab:
554 -     4 - :blobdead:
555 -     4 - :wine_glass:
556 -     4 - :55:
557 -     4 - :astonished_face:
558 -     4 - :biblethump:
559 -     4 - :snowman_without_snow:
560 -     4 - :see-no-evil_monkey:
561 -     4 - :face_with_cold_sweat:
562 -     4 - :theonking:
563 -     4 - :sunrise_over_mountains:
564 -     4 - :right-facing_fist:
565 -     4 - :photoblob:
566 -     4 - :cmhiyo:
567 -     4 - :zipper-mouth_face:
568 -     4 - :sun_with_face:
569 -     4 - :blue_circle:
570 -     4 - :new_moon_face:
571 -     4 - :house:
572 -     4 - :blobyum:
573 -     4 - :43:
574 -     4 - :cloud_with_lightning_and_rain:
575 -     4 - :blobjoy:
576 -     4 - :blobsmilehappy:
577 -     4 - :dadthinking:
578 -     4 - :lizard:
579 -     4 - :bomb:
580 -     4 - :necktie:
581 -     4 - :29:
582 -     4 - :face_with_rolling_eyes:
583 -     4 - :facepanda:
584 -     4 - :link:
585 -     4 - :japanese_acceptable_button:
586 -     4 - :clockwise_vertical_arrows:
587 -     4 - :anticlockwise_arrows_button:
588 -     4 - :round_pushpin:
589 -     4 - :ice_cream:
590 -     4 - :busts_in_silhouette:
591 -     4 - :left-right_arrow:
592 -     4 - :person_lifting_weights:
593 -     4 - :dragon:
594 -     4 - :blobwhistle:
595 -     4 - :blobsleepless:
596 -     4 - :delpudge:
597 -     4 - :butterfly:
598 -     4 - :blobgo:
599 -     3 - :yespingpls:
600 -     3 - :nerd_face:
601 -     3 - :roocry:
602 -     3 - :man_dancing:
603 -     3 - :unicorn_face:
604 -     3 - :a2k:
605 -     3 - :smuglee:
606 -     3 - :wrapped_gift:
607 -     3 - :gachigasm:
608 -     3 - :krappa:
609 -     3 - :tropical_drink:
610 -     3 - :blobcorn:
611 -     3 - :hushed_face:
612 -     3 - :left-pointing_magnifying_glass:
613 -     3 - :sunglasses:
614 -     3 - :racing_car:
615 -     3 - :thinkinggun:
616 -     3 - :slightly_frowning_face:
617 -     3 - :notlikethis:
618 -     3 - :d:
619 -     3 - :registered:
620 -     3 - :wedding:
621 -     3 - :trihard:
622 -     3 - :nopingpls:
623 -     3 - :41:
624 -     3 - :rose:
625 -     3 - :red_circle:
626 -     3 - :1st_place_medal:
627 -     3 - :purple_heart:
628 -     3 - :crystal_ball:
629 -     3 - :mmmmhyea:
630 -     3 - :drum:
631 -     3 - :goat:
632 -     3 - :fork_and_knife:
633 -     3 - :dab:
634 -     3 - :blobshh:
635 -     3 - :feelsamazingman:
636 -     3 - :confused_face:
637 -     3 - :bridge_at_night:
638 -     3 - :blobhypesquad:
639 -     3 - :up!_button:
640 -     3 - :blobthumbsdown:
641 -     3 - :party_popper:
642 -     3 - :baby_angel:
643 -     3 - :blobidea:
644 -     3 - :basicblobsob:
645 -     3 - :octopus:
646 -     3 - :left-facing_fist:
647 -     3 - :stuffed_flatbread:
648 -     3 - :zaiwow:
649 -     3 - :fast_up_button:
650 -     3 - :legacyblobaw:
651 -     3 - :heavy_plus_sign:
652 -     3 - :blobfrown:
653 -     3 - :kissing_face_with_closed_eyes:
654 -     3 - :blobdizzy:
655 -     3 - :ok_button:
656 -     3 - :owl:
657 -     3 - :tennis:
658 -     3 - :goobriel:
659 -     3 - :cow:
660 -     3 - :orange_book:
661 -     3 - :person_walking:
662 -     3 - :sunflower:
663 -     3 - :expressionless_face:
664 -     3 - :heavy_heart_exclamation:
665 -     3 - :footprints:
666 -     3 - :blobdancer:
667 -     3 - :dog:
668 -     3 - :sob:
669 -     3 - :scissors:
670 -     3 - :palm_tree:
671 -     3 - :tanabata_tree:
672 -     3 - :blobmoustache:
673 -     3 - :blobninja:
674 -     3 - :oil_drum:
675 -     3 - :high_voltage:
676 -     3 - :spider:
677 -     3 - :paw_prints:
678 -     3 - :3rd_place_medal:
679 -     3 - :military_medal:
680 -     3 - :g:
681 -     3 - :dango:
682 -     3 - :rat:
683 -     3 - :blobbandage:
684 -     3 - :egg:
685 -     3 - :watermelon:
686 -     3 - :blobthinkingbutfast:
687 -     3 - :rooree:
688 -     3 - :pandastare:
689 -     3 - :two_hearts:
690 -     2 - :rooaww:
691 -     2 - :granb:
692 -     2 - :roowut:
693 -     2 - :feelsthinkingman:
694 -     2 - :white_flag:
695 -     2 - :wastebasket:
696 -     2 - :blobfrowningbig:
697 -     2 - :chequered_flag:
698 -     2 - :face_without_mouth:
699 -     2 - :gwchadthinkeyes:
700 -     2 - :sleepy_face:
701 -     2 - :chocolate_bar:
702 -     2 - :green_heart:
703 -     2 - :roofat:
704 -     2 - :monkagiga:
705 -     2 - :fingerguns:
706 -     2 - :roobless:
707 -     2 - :monkapolice:
708 -     2 - :pot_of_food:
709 -     2 - :forsene:
710 -     2 - :dotted_six-pointed_star:
711 -     2 - :bicycle:
712 -     2 - :cat:
713 -     2 - :blobpinned:
714 -     2 - :beating_heart:
715 -     2 - :4head:
716 -     2 - :krenngasm:
717 -     2 - :writing_hand:
