216 -    28 - :o_button_(blood_type):
217 -    28 - :39:
218 -    28 - 🖕🏽
219 -    27 - :bread:
220 -    27 - :two_men_holding_hands:
221 -    26 - :yespingpls:
222 -    26 - :old_man:
223 -    26 - :broken_heart:
224 -    26 - :blobthinkingglare:
225 -    26 - 👏🏿
226 -    26 - :night_with_stars:
227 -    25 - :upside-down_face:
228 -    25 - :blobfire2:
229 -    25 - :blobuwu:
230 -    25 - :20:
231 -    25 - :up_arrow:
232 -    25 - :dizzy_face:
233 -    24 - :poppinphil:
234 -    24 - :a2kw:
235 -    24 - :hammer:
236 -    24 - :14:
237 -    24 - :frog_face:
238 -    24 - :weary_face:
239 -    24 - :37:
240 -    24 - :thinkingwithblobs:
241 -    24 - :red_triangle_pointed_up:
242 -    24 - :twelve_o’clock:
243 -    24 - 3⃣
244 -    23 - :doggoblob:
245 -    23 - :potatocarry:
246 -    23 - :fearful_face:
247 -    23 - :medium-light_skin_tone:
248 -    23 - :blobthinkingfast:
249 -    23 - :arthinking:
250 -    23 - :person_tipping_hand:
251 -    23 - :heart_with_arrow:
252 -    22 - :tacomadome:
253 -    22 - :blobscream:
254 -    22 - :thonking:
255 -    22 - :thonker:
256 -    22 - :briefcase:
257 -    22 - :fish:
258 -    22 - :35:
259 -    22 - :trade_mark:
260 -    22 - :mterf:
261 -    22 - :trophy:
262 -    22 - :cloud_with_lightning:
263 -    22 - :woman’s_boot:
264 -    22 - :blobpopcorn2:
265 -    22 - :index_pointing_up:
266 -    21 - :gabeface:
267 -    21 - :blobcoffee:
268 -    21 - :nopingpls:
269 -    21 - :kingaww:
270 -    21 - :blobsmirk:
271 -    21 - :blobsleeping:
272 -    21 - :ub3rb0t:
273 -    21 - :information:
274 -    21 - :glasses:
275 -    20 - :blobhero:
276 -    20 - :blackdanny:
277 -    20 - :blobpopcorn:
278 -    20 - :person_wearing_turban:
279 -    20 - :sparkling_heart:
280 -    20 - :boy:
281 -    20 - :40:
282 -    20 - :thinkingnoose:
283 -    20 - :tongue:
284 -    20 - :blobneutral:
285 -    19 - :38:
286 -    19 - :36:
287 -    19 - :21:
288 -    19 - :blobastonish:
289 -    19 - :34:
290 -    19 - :dog_face:
291 -    19 - :down_arrow:
292 -    18 - :dagger:
293 -    18 - :52:
294 -    18 - :unamused_face:
295 -    18 - :blobmelt:
296 -    18 - :lul:
297 -    18 - :honeybee:
298 -    18 - :kreygasm:
299 -    18 - :trumpet:
300 -    18 - 1⃣
301 -    18 - :circled_m:
302 -    18 - :pikablob:
303 -    18 - :blobsmilehappyeyes:
304 -    17 - 🖕🏼
305 -    17 - :monkey_face:
306 -    17 - :person_facepalming:
307 -    17 - :woman:
308 -    17 - :16:
309 -    17 - :08:
310 -    17 - :chicken:
311 -    17 - :kingderp:
312 -    17 - :blobthinkingsmirk:
313 -    17 - :zaiv:
314 -    17 - :bolb:
315 -    17 - :blobowo:
316 -    17 - 4⃣
317 -    17 - :performing_arts:
318 -    16 - :blobcatreach:
319 -    16 - :redpanda:
320 -    16 - :vs_button:
321 -    16 - :disappointed_but_relieved_face:
322 -    16 - :water_wave:
323 -    16 - :omegalul:
324 -    16 - :wutface:
325 -    16 - :blobfire:
326 -    16 - :truckdrafts:
327 -    16 - :05:
328 -    16 - :bird:
329 -    16 - 2⃣
330 -    16 - :ogre:
331 -    16 - :japanese_prohibited_button:
332 -    16 - :blobnogood:
333 -    15 - :face_with_stuck-out_tongue:
334 -    15 - :thinkw:
335 -    15 - :17:
336 -    15 - :tired_face:
337 -    15 - 🇺🇸
338 -    15 - :snowflake:
339 -    15 - :bug:
340 -    15 - :beer_mug:
341 -    15 - :blobsmilesweat2:
342 -    15 - :heavy_large_circle:
343 -    15 - :kingsalute:
344 -    15 - :heart_suit:
345 -    15 - :12:
346 -    15 - :glowing_star:
347 -    15 - :ear:
348 -    15 - :snowhiyo2:
349 -    14 - :27:
350 -    14 - :zaichoon:
351 -    14 - :wolf_face:
352 -    14 - :rolling_on_the_floor_laughing:
353 -    14 - :sleeping_face:
354 -    14 - :smiling_face_with_open_mouth_&_cold_sweat:
355 -    14 - :seemsgood:
356 -    14 - :detective:
357 -    14 - :cowboy_hat_face:
358 -    14 - :blobblush:
359 -    14 - :hamburger:
360 -    14 - :trihard:
361 -    14 - :49:
362 -    14 - :jebaited:
363 -    14 - :cheese_wedge:
364 -    14 - :56:
