222 -     8 - :blobsmilehappyeyes:
223 -     8 - :framed_picture:
224 -     8 - :kingderp:
225 -     8 - :crescent_moon:
226 -     8 - :snowhiyo2:
227 -     8 - :pogchamp:
228 -     7 - :wantsumfuk:
229 -     7 - :crying_cat_face:
230 -     7 - :blobcry:
231 -     7 - :blobtired:
232 -     7 - :monkey_face:
233 -     7 - :llapraise:
234 -     7 - :face_with_tears_of_joy:
235 -     7 - 🇿
236 -     7 - :money_bag:
237 -     7 - :lollipop:
238 -     7 - :backhand_index_pointing_right:
239 -     7 - :ng_button:
240 -     7 - :p_button:
241 -     7 - 9⃣
242 -     7 - :hot_beverage:
243 -     7 - :mterf:
244 -     7 - :llawut:
245 -     7 - :wastebasket:
246 -     7 - :blobastonish:
247 -     6 - :tinyphil:
248 -     6 - 6⃣
249 -     6 - :pool_8_ball:
250 -     6 - :french_fries:
251 -     6 - :drowstrats:
252 -     6 - :winking_face:
253 -     6 - :blobuwu:
254 -     6 - :clinking_beer_mugs:
255 -     6 - :heavy_plus_sign:
256 -     6 - :1st_place_medal:
257 -     6 - :6k:
258 -     6 - 🖕🏾
259 -     6 - :seedling:
260 -     6 - :blobangry:
261 -     6 - :blobpopcorn2:
262 -     6 - :bolb:
263 -     6 - :kingaww:
264 -     6 - 8⃣
265 -     6 - :blobhug:
266 -     6 - 🇻
267 -     6 - :tongue:
268 -     6 - :blobwizard:
269 -     6 - :rainbow:
270 -     6 - :pig_face:
271 -     6 - :photoblob:
272 -     6 - :blobnogood:
273 -     6 - :down_arrow:
274 -     6 - :kingsalute:
275 -     6 - :hourglass_with_flowing_sand:
276 -     6 - :cowboy_hat_face:
277 -     6 - :sports_medal:
278 -     5 - :roocry:
279 -     5 - :bread:
280 -     5 - :popcorn:
281 -     5 - :tired_face:
282 -     5 - 🙏🏿
283 -     5 - :potable_water:
284 -     5 - :oncoming_police_car:
285 -     5 - :blobsnuggle:
286 -     5 - :exclamation_mark:
287 -     5 - :americapanda:
288 -     5 - :feelsblobman:
289 -     5 - :wutface:
290 -     5 - :vohiyo:
291 -     5 - :baby:
292 -     5 - :wolf_face:
293 -     5 - :octopus:
294 -     5 - :pancakes:
295 -     5 - :cow_face:
296 -     5 - :backhand_index_pointing_left:
297 -     5 - :goblin:
298 -     5 - :bloboro:
299 -     5 - :cloud_with_lightning:
300 -     5 - :cucumber:
301 -     5 - :horse:
302 -     5 - :person_facepalming:
303 -     5 - :blobthumbsdown:
304 -     5 - :rollsafe:
305 -     5 - :handbag:
306 -     5 - :blobpopcorn:
307 -     5 - :whatthefuck:
308 -     4 - :money-mouth_face:
309 -     4 - :oncoming_bus:
310 -     4 - :smiling_face_with_sunglasses:
