219 -     2 - :narwaldabbing:
220 -     2 - :zaiwow:
221 -     2 - :upvote:
222 -     2 - :fraser:
223 -     2 - :googlecatheart:
224 -     2 - :googlecat:
225 -     2 - :googlecatface:
226 -     2 - :facepanda:
227 -     2 - :goobriel:
228 -     2 - :catbugss:
229 -     2 - :blobblush:
230 -     2 - :feelsjebman:
231 -     2 - :e_:
232 -     2 - :bloodninja:
233 -     2 - :blobcouncil:
234 -     2 - :blobteefs:
235 -     2 - :blobgo:
236 -     2 - :yugi:
237 -     2 - :blobpatrol:
238 -     2 - :burger:
239 -     2 - :blobamused:
240 -     2 - :riugold:
241 -     2 - :kirblob:
242 -     2 - :cmonbruh:
243 -     2 - :pingthink:
244 -     2 - :legacyblobthink:
245 -     2 - :dogdogw:
246 -     2 - :dogdoglul:
247 -     2 - :dogdoga:
248 -     2 - :blobcoffee:
249 -     2 - :moonxctide:
250 -     2 - :moonxcrip:
251 -     2 - :5_:
252 -     2 - :vioshrug:
253 -     2 - :pepegun:
254 -     2 - :dadawful:
255 -     2 - :blackdaddy:
256 -     2 - :theonking:
257 -     2 - :catscream2:
258 -     2 - :scream2:
259 -     1 - :narwal:
260 -     1 - :flame:
261 -     1 - :blobcorn:
262 -     1 - :califlag:
263 -     1 - :rtzw:
264 -     1 - :msagnnerk:
265 -     1 - :antibork:
266 -     1 - :ryrk:
267 -     1 - :rtzd:
268 -     1 - :gskwtf:
269 -     1 - :jojostoast:
270 -     1 - :rooree:
271 -     1 - :4head:
272 -     1 - :narwalfap:
273 -     1 - :daddy:
274 -     1 - :blobnervous:
275 -     1 - :bloboutage:
276 -     1 - :dogdogw1:
277 -     1 - :dogdogw2:
278 -     1 - :dogdogw3:
279 -     1 - :dogdogw4:
280 -     1 - :dogdogq1:
281 -     1 - :dogdogq2:
282 -     1 - :dogdogq3:
283 -     1 - :dogdogq4:
284 -     1 - :blobfistbumpr:
285 -     1 - :kingbless:
286 -     1 - :fierysnake:
287 -     1 - :tiiiiilting:
288 -     1 - :finkies:
289 -     1 - :ryrkface:
290 -     1 - :googleredheart:
291 -     1 - :tenkeran:
292 -     1 - :blobsmile:
293 -     1 - :spacethink:
294 -     1 - :blobzippermouth:
295 -     1 - :dicc:
296 -     1 - :shadpac:
297 -     1 - :tweet:
298 -     1 - :blobowoevil:
299 -     1 - :riurong:
300 -     1 - :blobconfused:
301 -     1 - :blob0w0:
302 -     1 - :gnikniht:
303 -     1 - :blobsmilehappy:
304 -     1 - :googleghost:
305 -     1 - :blobhornsangry:
306 -     1 - :blobtilthead:
307 -     1 - :feelspepoman:
308 -     1 - :legacyrainblob:
309 -     1 - :blobhyperthinkbutfast:
310 -     1 - :blobthinkingbutfast:
311 -     1 - :blobthinkingsmirk:
312 -     1 - :pingu:
313 -     1 - :blobnomping:
314 -     1 - :krenngasm:
315 -     1 - :feelstastyman:
316 -     1 - :blobscream:
